Batch,Department,Semester,CourseNo,Course Name,L,T,E,P,O,Credits,Category,Slot,Prerequisites,CourseType,Description
2024,AE,1,MA1101,Functions of Several Variables,3,1,0,0,6,10,S,B ,None,Science,
2024,AE,1,PH1010,Physics I,3,1,0,0,6,10,S,D ,None,Science,
2024,AE,1,AM1100,Engineering Mechanics,3,1,0,0,6,10,E,E ,None,Engineering,
2024,AE,1,CS1100,Introduction to Programming,3,0,0,3,6,12,C,F ,None,Computing,
2024,AE,1,WS1301,Workshop-I,0,0,0,3,0,3,E,UU,None,Engineering,
2024,AE,1,GN1101,Life Skills 1,0,0,0,0,4,4,G,S ,None,General,
2024,AE,1,ID1300,Recreation Course,0,0,0,0,2,2,G,,None,General,
2024,AE,2,MA2102,Differential Equations,3,0,0,0,6,9,S,A ,Partial derivatives and Series,Science,
2024,AE,2,PH1020,Physics II,3,1,0,0,6,10,S,D ,None,Science,
2024,AE,2,PH1030,Physics Laboratory I,0,0,0,3,1,4,S,P1,None,Science,
2024,AE,2,AS1300,Thermodynamics for Aerospace Engineering,3,1,0,0,5,9,E,B ,None,Engineering,
2024,AE,2,AS1020,Fluid Mechanics,3,1,0,0,5,9,P,D ,None,Professional,
2024,AE,2,AS2101,Introduction to Aerospace Engineering,1,0,0,2,2,5,P,K2,None,Professional,
2024,AE,2,WS1302,Workshop-II,0,0,0,3,0,3,E,UU,None,Engineering,
2024,AE,2,GN1102,Life Skills 2,0,0,0,0,2,2,G,S ,None,General,
2024,AE,2,NCC,(NC1010)/NSO (NS1020)/ NSS (NS1030),0,0,0,0,2,2,G,,None,General,
2024,AE,3,MA2104,Complex Analysis,3,0,0,0,6,9,S,A ,Partial derivatives,Science,
2024,AE,3,EE1100/EE1101,Basic Electrical Engineering/ Signals and Systems,3,1,0,0,6,10,E,,None,Engineering,
2024,AE,3,AS2050,Aerodynamics,3,1,0,0,5,9,P,C ,None,Professional,
2024,AE,3,AS2030,Gas Dynamics,3,1,0,0,5,9,P,C ,None,Professional,
2024,AE,3,AS2010,Basic Strength of Materials,3,1,0,0,5,9,P,B ,None,Professional,
2024,AE,3,AS2510,Low Speed Lab,1,0,0,2,2,5,P,Q ,None,Professional,
2024,AE,3,AS2100,Basic Aerospace Engineering Lab,1,0,0,2,2,5,P,M1,None,Professional,
2024,AE,4,MA2101,Linear Algebra via Matrices,3,0,0,0,6,9,S,A ,None,Science,
2024,AE,4,AS2040,Flight Dynamics I,3,1,0,0,5,9,P,D ,None,Professional,
2024,AE,4,AS2070,Aerospace Structural Mechanics,3,1,0,0,5,9,P,B ,AS2010: Basic Strength of Materials,Professional,
2024,AE,4,AS2080,Vibrations,3,1,0,0,5,9,P,E ,None,Professional,
2024,AE,4,AS3270,Propulsion I,3,1,0,0,5,9,P,B ,None,Professional,
2024,AE,4,AS3510,Aero Lab I,1,0,0,2,1,4,P,H3,None,Professional,
2024,AE,4,ME1480,Engineering Drawing,1,0,0,3,3,7,E,D2,None,Engineering,
2024,AE,4,HS3050,Professional Ethics,2,0,0,0,0,2,G,N ,None,General,
2024,AE,5,CY,Chemistry,3,1,0,0,6,10,S,,None,Science,
2024,AE,5,AS3050,Flight Dynamics II,3,1,0,0,5,9,P,C ,None,Professional,
2024,AE,5,AS3271,Propulsion II,3,1,0,0,5,9,P,A ,None,Professional,
2024,AE,5,AS3020,Aerospace Structures,3,1,0,0,5,9,P,D ,None,Professional,
2024,AE,5,AS3520,Aero Lab II,1,0,0,2,1,4,P,S ,None,Professional,
